id,text
1496672653033287681,@evhemphill A year ago they had it like every 15 minutes and it was glorious. This is so frustrating.
1496672653012344835,@dividedbychoice Stupid females with cake faces that claim they’re non binary and drag queens 😭😭😭
1496672650281644036,WTH BRO IM ANNOYED
1496672650072141824,"@prayerfeathers @ProjectLincoln Too many stupid, Vera’s like you ran it into the ground."
1496672649363218434,The same reactionaries who got mad at Manhattan DA Alvin Bragg for not being an outright fascist who'll lock up even more poor/working class Black &amp; Brown folks will also be thrilled to learn that Bragg now doesn't wanna move forward with a case against Trump. https://t.co/MfykxJJo1x
1496672647803019272,how are u gonna be mad at me bc i don’t want to go like bro
1496672647312199681,@atomicbombast1c @TSpeth5 @imjus_ron @Zayy_doee @Kameron_Hay No one’s blaming jrue but to act like he was supposed to win with that supporting cast in the west is stupid lol
1496672645550592005,@EdDoyle74337367 @myjunkwax Ditto. Nothing but mad respect for him now
1496672644984283140,"@TheKenGraff @foofighters @Studio666Movie Good thing I know I’m correct, yhité men get soooo mad 😡 🤷🏾‍♀️🐻☺️"
1496672644976021504,"Are you feeling annoyed with your business-at-home, This is the option that should produce more potential clients https://t.co/VUXudDTLj4 https://t.co/jDd6M7ePDW"
1496672644179111944,@shanflipsburgrs @onlycloti so true and still no one has made a gloveless &amp; shirtless Zack mod ???? like y’all wasting ur time on these stupid hair recolourings
1496672644095262725,"@natsechobbyist Well, we can expect the Biden SOTU address to be trashed by everyone then. Whose stupid idea was this anyway? https://t.co/sQzmV8kBf5"
1496672642480238592,Everything's changed since you've came here. Being around you... makes me do stupid things and I wish I didn't.
1496672638621696008,@JamesHanna1964 Take your swastika and go home. Cult of the willfully stupid.
1496672637782827010,"@HandOfHorror @Samuel78976186 @mrpyo1 I mean, it would be stupid to call ANY game a masterpiece solely based on a previous title. Elden Ring is probably a masterpiece, but calling it that based on, say, whether you liked Kingsfield would be idiotic"
1496672636163796995,@TheRealCEOAmber I swear. the stupid club want make their papa cry. Lol
1496672635924664322,why is guy mad butthurt? lmao https://t.co/PDyjzMji5o
1496672635874430977,"throwback  to  when  i  stole  both  KAY/O's  and  phoenix's  kill  on  that  dumb  training  robot  they  made .

still  a  stupid  idea ."
1496672634330886144,@marketplunger1 well that would have been stupid
1496672634225975297,@thispicgoeshard the mad hound is a legend
1496672633865351173,@ToppyWasTaken HEEEHEEHAAHAAA I PISSED ON THE WALL LAST NIGHT KEED
1496672633794015236,"@skywisby Do the math beloved. He played a very mean game. Why are you confused that people are mad?!

You must live in the same delusional realm that he does. #CBBUS3 https://t.co/l1iwaDqAqY"
1496672632280064004,nah bro i just wanna know why old chang kee puff in malaysia so smoll one?!!!!!! and theres no signature sambal &amp; chili sauce?!! im mad!!!
1496672630631395328,I’m having a hard time eating and I hate it here bc im getting mad at everyone
1496672625581760514,Damn!!! why i didnt see properly and choose the wrong timing. Stupid system causing all the chaos and make everyone gan cheong! wtf
1496672625489170433,"@whatslovemean if net worth is nothing, then how do you know how rich mr double-stuffed is? also, where are you getting this information from, you look fucking stupid😭"
1496672623811563526,@lovemylife81 @RyanTown10 @cmsumulepride @thehill @ASo1omons Well I guess you’re mad at Trump calling him a genius yesterday.
1496672623186661377,christ.  if #Anime gets any more stupid i might actually cancell my @Crunchyroll  service https://t.co/6yMtO5ZPjP
1496672622448369664,"@Hambugabitch @The_Mad_Asher welll  i dont know how to tell you this but he hates me now n has me blocked everywheree

im toxic /srs"
1496672620808343554,He got so mad he showed his apartment 😂 https://t.co/I3fhRDlUCs
1496672618610634756,"for once i just want to be in a friend group that can plan travel and outings without being irrational, without leaving me out of the loop and having side conversations, but leaving the planning to me, getting mad when I flake because nobody is responding to anything 😣"
1496672617511546881,@Ericutz4thewin How can he get mad at Tom for breaking the news? he's blocked 90% of Twitter 🤣
1496672616832143360,"@RTP_Joel @LeBatardShow ""Havoooollllcheckkkk"". Lol.  Love Mad Dog Though"
1496672615855009795,@browneyegirl400 What values? Y'all have been morally bankrupt before the Civil War. Is this an act or are they or think we're actually that fkn stupid? Infkncredible. If you insult me that's one thing. Thinking I'm too dumb to figure it out is quite another thing. You have insurance correct?
1496672613589864448,@BlakeOfErie @JWay1998 @TheHerd @Blitz_Burgh @ColinCowherd People are stupid
1496672613296492547,@HorrorHammer1 Sir looks annoyed
1496672612780552196,The reason Mbappe scored against Real Madrid was because every defender was focused on Messi. You see what stupid that sounds 💀 https://t.co/amP6eI5plM
1496672612252065796,"@reallywendy @ElaineBenes99 This is how they break the buyers’ backs. They need to unload all that supply but, like you said, optimism and blind stupid greed prevail. So as long as that sentiment remains, the supply stays locked up. It wouldn’t surprise me one little bit to see a suckers rally here soon."
1496672611975188483,@t0nit0ne Social media moms and their thirst for likes leads to complete idiotic behavior
1496672611568275458,i’ve got 99 problems and every single one of them was caused by my stupid little pattern-seeking brain learning to avoid the wrong things
1496672610591318017,"@ku89031043 @INCIndia @priyankagandhi Yes; Priyanka Gandhi has shown tremendous maturity and improvement in her politics.
If you analyst her speeches she is best of best politians in India.
She is one leader who talk logic &amp; sense. 
All other politians in India talk stupid boring dirt."
1496672609928417281,"@nowthisnews You stupid idiot,this is child abuse…"
1496672609911595009,@sayitnspinit @SparkyPatriot Stupid is putting it mildly!
1496672609617858564,"I should just stay in the dorm today... Now i feels so awful..

She have right to mad at me tho... Man i feels really awful..

I want to stab myself..."
1496672609047498754,@blakel2017 @aredmond75 @DyzzyG @FoxNews Stay mad
1496672608254926851,Using Twitter to understand things: convoy edition. People mad about inflation planning to drive across the country at $3-5 per G to protest unvaxxed immigrants while crossing multiple state lines unvaccinated. What a time to be alive. https://t.co/xj1KKK6InY
1496672607709671429,@NikkiHaley NiKKKi tRump enabled his Master to do this. tRump committed treason at Helsinki. Why do you state things you know are lies. No ethics? No morals? Plain stupid? Quit insulting the American people's intelligence.
1496672606837166081,@JeSIGrAc3 They dont care to read. also Had to unfollow @MeidasTouch for liking Vindmans fantastically stupid tweet..
1496672605335658503,"@Cleverdics Seen it live, pissed me off too @Plute93"
1496672604647825410,@C_Siegert @AidanWidick6 @doubldownbrown @KensethFan17_20 You walking around the free world with those stupid ass thoughts in your head? I'm surprised you made it this far.
1496672604446461953,"@Dianes_Willie so it would be stupid and then you thought maybe you could use it to catch some fireflies but you quickly abandoned that idea when you remembered how bad that probably is for them, so now it’s just you and this jar this jar thats been empty for months"
1496672604157095944,@TO_Resident @mynamesnotgordy I spelled Briane’s name wrong. She’s going to be mad and now I won’t get to see our kids.
1496672602571616260,lmaooo i’m soooo STUPID!!!!!
1496672598389706754,Bro people really be getting mad when you dont have the same taste in music as them
1496672598129795072,So true. You can't fix stupid. https://t.co/Plfa4VUOS8
1496672597072756738,"(Oh, wait, no, apparently that was after I speed-watched episode 35 because I knew something bad was going to happen &amp; I was mad about it, but I wasn't sure how bad it was going to be. I remember feeling similar through the end of 36, though.)"
1496672597005774849,I can finally be proud of my user for snap instead of that stupid shit from middle school https://t.co/tuZX4Prftw
1496672596984803333,"Me: buys new glasses that are very similar to my old glasses 

Also me: pissed that no one noticed/complimented me today"
1496672594506010631,@hokiesmash_ASD Dude better hit the weights once the season is done. He's not strong around the rim at all when he's got a body on or near him. Frustrating.
1496672593667047428,"@michaeljknowles Eh, let em...some kid wants to do stupid shit to their body, let them and they'll reap what they sow"
1496672593578848256,"@BarbBarre1975 @sammyjoms66 I just responded to your predictable tactic of discrediting sources and i gave you your own source lmao, also Trump  was always consistent on the hate he was given by y'all simp pigs, this time is people just realizing how stupid Joe is but i already knew that."
1496672593222508548,"Missing someone that has forgotten about your existence.  

*Stupid"
1496672593184800772,"@jasonkersey Why are people so mad? He effectively got women to do what they have been convincing men to do for centuries. They open credit cards, women use them, men pay for them. A dude does it and they make a fucking documentary about it. Makes no sense how we are still this sexist."
1496672592865939456,@SneezPlayGames @MegaverseGame @BitcoinMagazine @Drake u mad pretty
1496672592249249792,"@FitFounder A Kanye 

My bad I'm just mad at the whole $200 Stem Player thing 😂"
1496672591188471810,"I hope Australia isn't that stupid, but.... https://t.co/67IK5uXks4"
1496672589183426562,"@cjtackett great, another idiotic group from texas looking to ruin life for everyone 🤬🤬🤬🤬🤬🤬🤬🤬"
1496672588994646020,Anyway that Eddie promo was great and Jericho made me mad lol.
1496672588801744899,not knowing what i want in any aspect of my life is so frustrating and it all stems from me always doing what will make others happy
1496672587140767748,Clingy people make me mad. Like actually angry. It’s upsetting me
1496672584607412229,"@Nerdy_Addict While you were out doing Nerdy time, I got the news from a real Dr that my biopsy is clear...sorry just announcing to anyone and everyone, because I'm stupid happy. Breatheing this side of cancer again, and needing those beach vibes. So thank you for sharing, welcome back Warrior"
1496672584511139840,"They’re real mad, haaaaha"
1496672584020201477,"@painted_dog_ THIS IS FROM 8HOURS AGO ?!?! 

dammit my fucjing twt switch back to stupid ""home"" mode"
1496672583915294722,"@LezhinComics_US 1. Limited Run
2. I think love is an illusion?
3. Painter of the night
4. Stranger than friends
5. Mad Place
6. ?"
1496672583332335616,"@natsechobbyist Can’t stop the Democrats from setting up their chairs for the circular firing squad. Always have, always will. Very fantastically stupid."
1496672582476566529,Leo smiled nervously. Maybe he and Percy did share something else – a stupid sense of humour.
1496672581344182276,this movie somehow percectly shows how stupid middle school is elementary everyones children in high school they act more mature middle school is the worst of both worlds tbh https://t.co/J5rvO3fK3s
1496672575073652737,@dcexaminer @GOPLeader @RepRWilliams You keep going with these idiotic lies. All will be revealed one day and your name will not be reflected upon kindly in history.
1496672575019266054,"if you start missing them, remember how they thought you were stupid enough to never know"
1496672574629154816,@JoshVsJuice I was going in tryna be mad too. And that shit was heat lmao
